1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
289	0.053440	214.800000	1.243082	0.010915	75.8
290	0.053653	214.000000	1.247314	0.011460	74.8
291	0.054245	215.000000	1.242029	0.015358	71.6
292	0.055189	216.000000	1.236788	0.012796	72.9
293	0.055794	217.000000	1.231592	0.013218	73.1
294	0.054759	218.000000	1.226439	0.012849	73.4
295	0.054639	219.000000	1.221328	0.012242	73.9
296	0.051121	220.000000	1.216261	0.011767	74.5
297	0.053801	221.000000	1.211235	0.006689	73.8
298	0.054818	222.000000	1.206250	0.010417	73.2
299	0.053445	223.000000	1.201307	0.023022	80.1
300	0.053486	224.000000	1.196403	0.012442	75.2
301	0.052532	225.000000	1.191540	0.009957	74.6
302	0.056808	224.200000	1.195427	0.014936	71.4
303	0.053321	225.200000	1.190572	0.012246	72.5
304	0.052349	226.200000	1.185756	0.009043	71.9
305	0.050833	227.200000	1.180978	0.011172	77.2
306	0.053661	228.200000	1.176239	0.018126	72.4
307	0.052663	229.200000	1.171538	0.013089	73.8
308	0.050721	230.200000	1.166874	0.006922	75.0
309	0.055778	229.400000	1.170602	0.023062	74.2
310	0.053271	230.400000	1.165946	0.012544	75.0
311	0.056258	231.400000	1.161327	0.010663	72.5
312	0.049297	230.600000	1.165019	0.015251	74.7
313	0.047785	231.600000	1.160407	0.011747	73.8
314	0.050005	232.600000	1.155831	0.007410	73.7
315	0.049819	233.600000	1.151292	0.010651	79.8
316	0.048768	234.600000	1.146787	0.018007	75.9
317	0.046159	235.600000	1.142318	0.012035	77.0
318	0.045581	236.600000	1.137884	0.008874	75.8
319	0.047201	235.800000	1.141428	0.024034	74.4
320	0.048049	236.800000	1.137001	0.012295	73.7
321	0.047863	237.800000	1.132607	0.010719	76.4
322	0.049555	237.000000	1.136119	0.015442	77.1
323	0.049003	238.000000	1.131733	0.011286	71.7
324	0.048329	239.000000	1.127380	0.003743	73.3
325	0.048524	238.200000	1.130860	0.004849	72.1
326	0.045912	237.400000	1.134361	0.010176	75.8
327	0.044359	238.400000	1.129988	0.010572	74.1
328	0.047374	239.400000	1.125648	0.012223	73.8
329	0.047696	240.400000	1.121342	0.010247	75.4
330	0.050123	241.400000	1.117069	0.004216	74.2
331	0.049581	240.600000	1.120485	0.004776	78.2
332	0.047074	239.800000	1.123922	0.005477	72.6
333	0.050095	239.000000	1.127380	0.010435	69.9
334	0.050355	240.000000	1.123061	0.009935	72.2
335	0.049327	241.000000	1.118774	0.011079	79.1
336	0.048070	242.000000	1.114520	0.011103	75.3
337	0.049320	243.000000	1.110299	0.011994	73.8
338	0.048103	244.000000	1.106109	0.011352	73.9
339	0.047422	245.000000	1.101950	0.009505	74.3
340	0.047276	246.000000	1.097823	0.010868	74.3
341	0.048485	247.000000	1.093727	0.015958	72.6
342	0.049762	248.000000	1.089661	0.011580	70.9
343	0.046383	249.000000	1.085625	0.010704	73.9
344	0.046676	248.200000	1.088851	0.026306	72.2
345	0.049970	249.200000	1.084822	0.012029	73.0
346	0.046349	250.200000	1.080822	0.008615	77.2
347	0.047324	249.400000	1.084019	0.013968	74.4
348	0.048900	250.400000	1.080025	0.011101	77.2
349	0.043394	251.400000	1.076060	0.011708	76.7
350	0.043937	252.400000	1.072124	0.010404	77.9
351	0.047600	253.400000	1.068217	0.006455	74.7
352	0.046490	254.400000	1.064338	0.011694	72.8
353	0.047519	255.400000	1.060488	0.020721	76.8
354	0.049520	256.400000	1.056665	0.011263	73.3
355	0.047311	257.400000	1.052869	0.008404	76.5
356	0.048335	256.600000	1.055904	0.008250	76.8
357	0.047687	257.600000	1.052113	0.012389	75.3
358	0.048171	258.600000	1.048351	0.022868	71.4
359	0.049488	259.600000	1.044614	0.011244	74.4
360	0.049172	260.600000	1.040905	0.008477	75.0
361	0.048346	259.800000	1.043870	0.008311	80.1
362	0.047781	259.000000	1.046853	0.010752	77.3
363	0.046960	260.000000	1.043127	0.017932	74.6
364	0.045022	261.000000	1.039428	0.011561	75.8
365	0.044944	262.000000	1.035756	0.007641	77.4
366	0.045176	261.200000	1.038692	0.022968	72.8
367	0.050553	262.200000	1.035024	0.012229	77.2
368	0.047650	263.200000	1.031382	0.011778	77.2
369	0.048326	262.400000	1.034294	0.016506	74.3
370	0.046628	263.400000	1.030657	0.012012	73.8
